episode, reward, success, duration, n_steps, success_count, memory length, avg_critic_loss, avg_actor_loss
249, -596.4428345710039, False, 9.324725151062012, 281, 0, 100000, 0.48924994468688965, 1714.6939697265625
250, -1039.7654038518667, False, 18.261987686157227, 554, 0, 100000, 0.4901261329650879, 1717.350341796875
251, 292.26685993373394, True, 15.618130922317505, 466, 0, 100000, 0.49408987164497375, 1702.764892578125
252, -714.3819812834263, False, 22.8853862285614, 697, 0, 100000, 0.573298990726471, 1700.8677978515625
253, -1034.565740019083, False, 14.982511520385742, 454, 0, 100000, 0.5800992250442505, 1698.6995849609375
254, 240.55912414193153, True, 17.145325899124146, 515, 0, 100000, 0.3645569682121277, 1692.5849609375
255, -650.9416552782059, False, 2.7245283126831055, 86, 0, 100000, 0.5170390605926514, 1676.2186279296875
256, 492.71006640791893, True, 7.288165330886841, 220, 0, 100000, 0.42403483390808105, 1684.7762451171875
257, -676.7766723632812, False, 4.079777956008911, 131, 0, 100000, 0.3484667241573334, 1687.3453369140625
258, 71.63358923792839, True, 18.403979778289795, 553, 0, 100000, 0.5534042119979858, 1685.9619140625
259, -761.639261007309, False, 3.5747601985931396, 119, 0, 100000, 0.5067960619926453, 1668.139892578125
260, -548.3887411952019, False, 9.147033214569092, 273, 0, 100000, 0.5430391430854797, 1678.115234375
261, -806.4120368510485, False, 13.999701499938965, 410, 0, 100000, 0.5958347916603088, 1669.3966064453125
262, -694.1919209808111, False, 8.98324966430664, 272, 0, 100000, 0.718289852142334, 1671.130859375
263, -896.5153933316469, False, 15.809504985809326, 482, 0, 100000, 0.6280856132507324, 1664.3895263671875
264, -638.9411869496107, False, 12.014272212982178, 365, 0, 100000, 0.3553432524204254, 1653.7772216796875
265, 217.87397092580795, True, 13.37268614768982, 405, 0, 100000, 0.5382373332977295, 1655.2794189453125
266, -639.7186822891235, False, 2.6818020343780518, 82, 0, 100000, 0.6758732199668884, 1626.796630859375
267, -1088.0037645697594, False, 15.377788543701172, 466, 0, 100000, 0.5542210936546326, 1645.14453125
268, -609.608861386776, False, 11.807769775390625, 354, 0, 100000, 0.5777844190597534, 1640.5081787109375
