episode, reward, success, duration, n_steps, memory length, avg_critic_loss, avg_actor_loss
263, 2388.534888714552, 1, 4.086921453475952, 69, 69544, 9.0955228805542, 6746.0390625
264, -3079.7936083078384, 3, 17.722819805145264, 289, 69828, 9.49351978302002, 7225.85107421875
265, 2330.7764389812946, 1, 8.299551010131836, 135, 69958, 8.476548194885254, 7111.73583984375
266, 2031.3619177341461, 1, 14.544895887374878, 233, 70186, 10.03703784942627, 7201.22509765625
267, -2384.520115852356, 3, 7.042711973190308, 115, 70296, 9.43150806427002, 6993.77978515625
268, 2011.8218007683754, 1, 12.22417426109314, 200, 70491, 10.826977729797363, 7202.71923828125
269, 548.6038026213646, 1, 20.55380654335022, 327, 70813, 8.120932579040527, 7181.62451171875
270, -2205.438822031021, 3, 1.5020313262939453, 28, 70836, 9.162466049194336, 6052.38427734375
271, 1295.502612054348, 1, 32.38944387435913, 525, 71356, 9.41373348236084, 7320.259765625
272, -2466.437406539917, 3, 7.076221704483032, 117, 71468, 9.498393058776855, 7052.10302734375
273, 2189.9368636012077, 1, 10.033990383148193, 164, 71627, 9.83354377746582, 7153.3095703125
274, 1662.7828809022903, 1, 16.80163335800171, 273, 71895, 9.71912670135498, 7219.474609375
275, -2482.234267950058, 3, 1.9494948387145996, 35, 71925, 9.538151741027832, 6358.3076171875
276, 2265.78348839283, 1, 6.616157293319702, 112, 72032, 8.253312110900879, 7060.36328125
277, -2827.8400151729584, 3, 8.606993436813354, 142, 72169, 8.469294548034668, 7066.1845703125
278, 2414.4447733163834, 1, 2.984834909439087, 53, 72217, 7.603978157043457, 6637.82177734375
279, 2113.153907895088, 1, 11.029638528823853, 178, 72390, 9.21831226348877, 7211.5908203125
280, 1909.2987562417984, 1, 16.477564573287964, 267, 72652, 9.530316352844238, 7286.4189453125
281, 2047.7920800447464, 1, 14.897847652435303, 239, 72886, 8.745993614196777, 7329.27685546875
282, -3073.8665369153023, 2, 20.204965353012085, 323, 73204, 9.747100830078125, 7322.3837890625
283, 2201.549542963505, 1, 9.33460021018982, 153, 73352, 9.33195972442627, 7203.451171875
284, -2741.563889861107, 3, 8.970179080963135, 147, 73494, 9.494805335998535, 7236.06201171875
285, 811.6139206290245, 1, 29.19402527809143, 466, 73955, 9.616486549377441, 7416.42236328125
